1ci-smcs	['3091']
synchronet-rtc	['6101']
synchronet-upd	['6102']
synchronite	['4106']
syncserver	['2647']
syncserverssl	['2679']
synctest	['45045']
synel-data	['3734']
synoptics-trap	['412']
synotics-broker	['392']
synotics-relay	['391']
sype-transport	['9911']
syscomlan	['1065']
syserverremote	['6418']
sysinfo-sp	['11967']
syslog-conn	['601']
syslog-tls	['6514']
sysopt	['3281']
sysorb	['3241']
sysrqd	['4094']
sysscanner	['3251']
systat	['11']
system-monitor	['2609']
systemics-sox	['5406']
t1-e1-over-ip	['3175']
t128-gateway	['1627']
t1distproc	['1274']
t1distproc60	['32249']
t2-brm	['7933']
t2-drm	['7932']
t5-straton	['11173']
tabula	['1437']
tacacs	['49']
tacacs-ds	['65']
tacnews	['98']
tacticalauth	['2392']
taep-as-svc	['5111']
tag-pm	['5073']
tag-ups-1	['3573']
taiclock	['4014']
tal-pod	['6149']
talarian-mcast1	['4015']
talarian-mcast2	['4016']
talarian-mcast3	['4017']
talarian-mcast4	['4018']
talarian-mcast5	['4019']
talarian-mqs	['2493']
taligent-lm	['1475']
talikaserver	['22763']
talk	['517']
talnet	['1838']
talon-disc	['7011']
talon-engine	['7012']
talon-webserver	['7015']
tambora	['9020']
tams	['2726']
tapestry	['1922']
tapeware	['3817']
tappi-boxnet	['2306']
tarantella	['3144']
targus-getdata	['5200']
targus-getdata1	['5201']
targus-getdata2	['5202']
targus-getdata3	['5203']
tarp	['6442']
taserver	['3552']
taskman-port	['2470']
taskmaster2000	['2402','2403']
tasp-net	['25900']
taurus-wh	['1610']
tbrpf	['712']
tcc-http	['24680']
tcim-control	['2729']
tclprodebugger	['2576']
tcoaddressbook	['1977']
tcoflashagent	['1975']
tcoregagent	['1976']
tcp-id-port	['1999']
tcpdataserver	['3805']
tcpmux	['1']
tcpnethaspsrv	['475']
td-postman	['1049']
td-replica	['268']
td-service	['267']
tdaccess	['2910']
tdmoip	['2142']
tdp-suite	['1814']
teamcoherence	['9222']
tec5-sdctp	['9668']
teedtap	['559']
tekpls	['1946']
telaconsole	['5428']
telefinder	['1474']
telelpathattack	['5011']
telelpathstart	['5010']
teleniumdaemon	['2060']
telesis-licman	['1380']
telindus	['1728']
tell	['754']
tellumat-nms	['3549']
telnet	['23']
telnetcpcd	['3696']
telnets	['992']
telops-lmd	['7491']
tempest-port	['11600']
tempo	['526']
tenfold	['658']
tentacle	['41121']
terabase	['4000']
teradataordbms	['8002']
teredo	['3544']
terminaldb	['2008','2018']
tesla-sys-msg	['7631']
tetrinet	['31457']
texai	['5048']
texar	['333']
tftp	['69']
tftp-mcast	['1758']
tftps	['3713']
tgcconnect	['4146']
tgp	['1223']
thermo-calc	['6201']
theta-lm	['2296']
thingkit	['4423']
thrp	['3963']
thrtx	['4139']
tht-treasure	['1832']
tibet-server	['1407']
ticf-1	['492']
ticf-2	['493']
tick-port	['3200']
tidp	['7548']
tig	['3943']
tigv2	['4124']
tile-ml	['10261']
timbuktu	['407']
timbuktu-srv1	['1417']
timbuktu-srv2	['1418']
timbuktu-srv3	['1419']
timbuktu-srv4	['1420']
time	['37']
timed	['525']
timeflies	['1362']
timelot	['3243']
timestenbroker	['3754']
tinc	['655']
tinymessage	['5104']
tip-app-server	['3160']
tip2	['3372']
tipc	['6118']
tivoconnect	['2190']
tivoli-npm	['1965']
tksocket	['2915']
tl-ipcproxy	['4176']
tl1	['2361']
tl1-lv	['3081']
tl1-raw	['3082']
tl1-raw-ssl	['6251']
tl1-ssh	['6252']
tl1-telnet	['3083']
tlisrv	['1527']
tmesis-upshot	['2798']
tmi	['8300']
tmo-icon-sync	['5583']
tmophl7mts	['20046']
tmosms0	['5580']
tmosms1	['5581']
tn-timing	['2739']
tn-tl-fd1	['476']
tn-tl-fd2	['1584']
tnETOS	['377']
tnmpv2	['3686']
tnos-dp	['7902']
tnos-dps	['7903']
tnos-sp	['7901']
tnp	['8321']
tnp-discover	['8320']
tnp1-port	['4024']
tns-adv	['3309']
tns-cml	['590']
tns-server	['3308']
toad	['2669']
toad-bi-appsrvr	['8066']
tolfab	['20167']
tolteces	['4375']
tomato-springs	['3040']
tonidods	['24465']
topflow	['2885']
topflow-ssl	['3885']
topovista-data	['3906']
topx	['2436']
toruxserver	['5153']
touchnetplus	['2158']
tpcsrvr	['2078']
tpdu	['1430']
tpip	['594']
tpmd	['1906']
tqdata	['2700']
tr-rsrb-p1	['1987']
tr-rsrb-p2	['1988']
tr-rsrb-port	['1996']
traceroute	['33434']
track	['20670']
tragic	['2642']
traingpsdata	['9277']
tram	['4567']
transact	['1869']
transmit-port	['5282']
trap	['4020']
trap-daemon	['3600']
trap-port	['3857']
trap-port-mom	['3858']
traversal	['4678']
travsoft-ipx-t	['2644']
trc-netpoll	['2405']
trdp-md	['17225']
trdp-pd	['17224']
treehopper	['3959']
trendchip-dcp	['3608']
tributary	['2580']
trident-data	['7727']
trim	['1137']
trim-event	['4322']
trim-ice	['4323']
trinity-dist	['4711']
triomotion	['3240']
trip	['6069']
tripe	['4070']
tripwire	['1169']
triquest-lm	['1588']
trisoap	['10200']
trispen-sra	['9555']
tritium-can	['4876']
trivnet1	['8200']
trivnet2	['8201']
trnsprntproxy	['3346']
trp	['2156']
truckstar	['4725']
truecm	['8804']
trueconf	['4307']
trusted-web	['3011']
trustestablish	['2573']
tsa	['6689']
tsaf	['12753']
tsb	['2741']
tsb2	['2742']
tscchat	['2330']
tsdos390	['1237']
tsepisp	['4422']
tserver	['450']
tsilb	['2489']
tsp	['3653']
tsrmagt	['2077']
tsspmap	['1568']
ttat3lb	['3579']
ttc	['2483']
ttc-etap	['2675']
ttc-etap-ds	['2978']
ttc-etap-ns	['2977']
ttc-ssl	['2484']
ttcmremotectrl	['3468']
ttg-protocol	['2862']
ttl-publisher	['5462']
ttlpriceproxy	['5463']
ttnrepository	['2943']
ttntspauto	['3474']
tunalyzer	['5748']
tunatic	['5747']
tungsten-http	['9762']
tungsten-https	['9443']
tunnel	['604']
tunstall-lwp	['5197']
tunstall-pnc	['1846']
turbonote-1	['39681']
turbonote-2	['34249']
tvbus	['2191']
tvdumtray-port	['3492']
tve-announce	['2670']
tvnetworkvideo	['3791']
tvpm	['21800']
tw-auth-key	['27999']
twamp-control	['862']
twcss	['3428']
twds	['8937']
twrpc	['3479']
twsdss	['3012']
u-dbap	['3584']
ua-secureagent	['19194']
uaac	['145']
uacs	['2768']
uadtc	['2767']
uaiact	['1470']
uarps	['219']
ub-dns-control	['8953']
ubroker	['7887']
ubxd	['4034']
ucentric-ds	['2879']
ucontrol	['13894']
ucs-isc	['8070']
udp-sr-port	['1624']
udpradio	['1833']
udrawgraph	['2542']
udrive	['1867']
udt-os	['1382','3900']
uec	['8778']
ufastro-instr	['3720']
ufmp	['6306']
uis	['390']
ulistproc	['372']
ulp	['522']
ulpnet	['483']
ultimad	['1737']
ultrabac	['1910']
ultraseek-http	['8765']
ultrex	['1327']
uma	['144','1797']
umm-port	['3098']
ums	['2248']
umsp	['2110']
unbind-cluster	['2138']
undo-lm	['5281']
unet	['1189']
unglue	['2655']
unicall	['4343']
unicontrol	['2437','2499']
unidata-ldm	['388']
unieng	['5730']
unify	['181']
unify-adapter	['1889']
unify-debug	['4867']
unifyadmin	['2696']
unihub-server	['2357']
unikeypro	['4127']
unimobilectrl	['2927']
uniport	['9629']
unisql	['1978']
unisql-java	['1979']
unisys-eportal	['37654']
unisys-lm	['1823']
unite	['3217']
univ-appserver	['1233']
universe-suite	['4184']
univision	['2820']
unix-status	['1957']
unizensus	['1151']
unot	['5055']
uohost	['3314']
uorb	['3313']
updog	['4414']
upgrade	['2537']
upnotifyp	['4445']
upnotifyps	['3356']
ups	['401']
ups-engine	['3664']
ups-onlinet	['7010']
upsnotifyprot	['2648']
upstriggervsw	['3786']
urbisnet	['2745']
urld-port	['3534']
urm	['606']
us-cli	['8082']
us-gv	['1370']
us-srv	['8083']
user-manager	['3272']
usicontentpush	['7998']
utcd	['1506']
utime	['519']
utmpcd	['431']
utmpsd	['430']
utsftp	['2529']
uucp	['540']
uucp-path	['117']
uucp-rlogin	['541']
uuidgen	['697']
v-one-spp	['3845']
v2g-secc	['15118']
v5ua	['5675']
va-pacbase	['3676']
vacdsm-app	['671']
vacdsm-sws	['670']
vad	['14154']
valisys-lm	['1457']
vantronix-mgmt	['8034']
vaprtm	['3654']
varadero-0	['4837']
varadero-1	['4838']
varadero-2	['4839']
vat	['3456']
vat-control	['3457']
vatata	['4188']
vatp	['690']
vaultbase	['1771']
vce	['11111']
vchat	['1168']
vcmp	['2426']
vcnet-link-v10	['2554']
vcom-tunnel	['8001']
vcrp	['3073']
vcs-app	['14141']
vcscmd	['14150']
vdab	['1775']
vdmplay	['1707']
vemmi	['575']
ventoso	['4621']
venus	['2430']
venus-se	['2431']
veracity	['1062']
vergencecm	['2771']
verismart	['3270']
veritas-pbx	['1556']
veritas-ucl	['2148']
veritas-vis1	['2993']
veritas-vis2	['2994']
veronica	['2770']
versa-tek	['2610']
versatalk	['3738']
versiera	['9050']
vestasdlp	['17184']
vettcp	['78']
vfmobile	['5646']
vfo	['1056']
vhd	['3802']
vid	['769']
video-activmail	['1398']
videobeans	['3058']
videotex	['516']
videte-cipc	['1927']
vidigo	['3231']
vids-avtp	['1853']
vieo-fe	['3245']
vinainstall	['4344']
vipera	['12012']
vipera-ssl	['12013']
vipremoteagent	['3752']
virprot-lm	['7121']
virtual-places	['1533']
virtual-time	['1852']
virtualtape	['2386']
virtualuser	['5423']
visd	['9284']
visinet-gui	['3601']
vision-elmd	['6673']
vision-server	['6672']
visionpyramid	['1247']
visitview	['1631']
vista-4gl	['24249']
vistium-share	['1545']
visweather	['9979']
vitalanalysis	['2474']
viziblebrowser	['1868']
vlsi-lm	['1500']
vmnet	['175']
vmodem	['3141']
vmpwscs	['214']
vmrdp	['2179']
vmsvc	['7024']
vmsvc-2	['7025']
vmware-fdm	['8182']
vnas	['577']
vnetd	['13724']
vns-tp	['7802']
vnsstr	['3321']
vnwk-prapi	['2538']
vnyx	['8699']
vocaltec-admin	['1796']
vocaltec-gold	['6670']
vocaltec-hos	['25793']
vofr-gateway	['21590']
voispeed-port	['3541']
volley	['3625']
vop	['4433']
vopied	['13783']
voxelstorm	['28200']
vp2p	['8473']
vpac	['1517']
vpad	['1516']
vpjp	['1345']
vpm-udp	['5046']
vpnz	['1224']
vpp	['677']
vpps-qua	['672']
vpps-via	['676']
vpsipport	['2649']
vpvc	['1519']
vpvd	['1518']
vqp	['1589']
vrace	['9300']
vrcommerce	['2530']
vrml-multi-use	['4200-4299']
vrpn	['3883']
vrt	['4991']
vrtl-vmf-ds	['1956']
vrtl-vmf-sa	['2074']
vrtp	['2255']
vrts-at-port	['2821']
vrts-auth-port	['4032']
vrts-ipcserver	['1317']
vrts-registry	['2410']
vrts-tdd	['14149']
vrtstrapserver	['1885']
vrxpservman	['4147']
vs-server	['3280']
vsaiport	['3317']
vsamredirector	['2387']
vsat-control	['1880']
vscp	['9598']
vseconnector	['2893']
vsi-omega	['7566']
vsiadmin	['2539']
vsinet	['996']
vsixml	['2996']
vslmp	['312']
vsnm-agent	['3375']
vspread	['2695']
vstat	['7779']
vt-ssl	['3509']
vtp	['16666']
vtr-emulator	['3122']
vts-rpc	['5780']
vtsas	['5070']
vtu-comms	['2216']
vulture	['3482']
vvr-control	['4145']
vvr-data	['8199']
vx-auth-port	['3207']
vxcrnbuport	['3652']
vxlan	['4789']
vxlan-gpe	['4790']
vytalvaultbrtp	['2546']
vytalvaultpipe	['2548']
vytalvaultvsmp	['2547']
waascluster	['5787']
wacp	['3633']
wafs	['4049']
wag-service	['2608']
wago-io-system	['2455']
wago-service	['6626']
wanscaler	['2312']
wap-push	['2948']
wap-push-http	['4035']
wap-push-https	['4036']
wap-pushsecure	['2949']
wap-vcal	['9205']
wap-vcal-s	['9207']
wap-vcard	['9204']
wap-vcard-s	['9206']
wap-wsp	['9200']
wap-wsp-s	['9202']
wap-wsp-wtp	['9201']
wap-wsp-wtp-s	['9203']
warehouse	['12322']
warehouse-sss	['12321']
warmspotMgmt	['1074']
warmux	['3826']
warppipe	['8007']
watchdoc	['5744']
watchdoc-pod	['5743']
watchdog-nt	['2723']
watchme-7272	['7272']
watcomdebug	['3563']
watershed-lm	['6143']
watilapp	['1269']
wbem-exp-https	['5990']
wbem-http	['5988']
wbem-https	['5989']
wbem-rmi	['5987']
wcbackup	['8912']
wcpp	['4185']
wcr-remlib	['4845']
weandsf	['48050']
weave	['11095']
web2host	['1559']
webaccess	['1739']
webdata	['3748']
webemshttp	['2851']
weblogin	['2054']
webmachine	['1963']
webmail-2	['3511']
webmethods-b2b	['2907']
webobjects	['1085']
webphone	['21845']
webpush	['1001']
websm	['9090']
websphere-snmp	['3427']
webster	['765']
webtie	['3342']
webyast	['4984']
wello	['4177']
westec-connect	['5566']
westell-stats	['1875']
wfc	['4847']
wfm	['4057']
wfremotertm	['1046']
wg-netforce	['3359']
wherehoo	['5859']
whisker	['3233']
whoami	['565']
whosells	['2781']
whosockami	['2009','2019']
wibukey	['22347']
wiegand	['4390']
wifree	['11208']
wilkenlistener	['1890']
willy	['2518']
wimaxasncp	['2231']
wimd	['2980']
wimsic	['1326']
windb	['2522']
winddlb	['1565']
winddx	['1727']
windlm	['1785']
windream	['534']
winfs	['5009']
wininstall-ipc	['3674']
winjaserver	['1290']
winpcs	['5166']
winpharaoh	['6065']
winpoplanmess	['1152']
winport	['3926']
winqedit	['7395']
winrm	['47001']
wins	['1512']
winshadow	['3261']
winshadow-hd	['3861']
wip-port	['3414']
wired	['4871']
wkars	['2720']
wkstn-mon	['2991']
wlanauth	['3810']
wlbs	['2504']
wlcp	['36411']
wmc-log-svc	['1338']
wmedistribution	['11998']
wmereceiving	['11997']
wmereporting	['11999']
wmlserver	['4883']
wms-messenger	['3219']
wnn6	['22273']
wnn6-ds	['26208']
workflow	['3466']
workflowdir	['4417']
world-lm	['1462']
worldfusion1	['2595']
worldfusion2	['2596']
worldscores	['4545']
wpages	['776']
wpgs	['780']
writesrv	['1334']
wrs-registry	['2340']
wrspice	['6114']
ws-discovery	['3702']
wsdapi	['5357']
wsdapi-s	['5358']
wsdl-event	['4879']
wsicopy	['3378']
wsm-server	['5006']
wsm-server-ssl	['5007']
wsman	['5985']
wsmans	['5986']
wsmlb	['3806']
wso2esb-console	['9444']
wspipe	['4431']
wssauthsvc	['4537']
wsscomfrmwk	['6602']
wsynch	['3111']
wta-wsp-s	['2805']
wta-wsp-wtp-s	['2923']
wusage	['2396']
wv-csp-sms	['3590']
wv-csp-sms-cir	['3716']
wv-csp-udp-cir	['3717']
wwiotalk	['5413']
www-dev	['2784']
www-ldap-gw	['1760']
wxbrief	['4368']
wysdma	['3741']
wysdmc	['3916']
x-bone-api	['2165']
x-bone-ctl	['265']
x11	['6000-6063']
x2-control	['36422']
x25-svc-port	['1998']
x2e-disc	['11877']
x500ms	['5757']
x9-icue	['1145']
xaapi	['1934']
xact-backup	['911']
xadmin	['9105']
xandros-cms	['4389']
xap-ha	['3639']
xbox	['3074']
xdas	['7629']
xdmcp	['177']
xds	['2130']
xdsxdm	['6558']
xdtp	['3088']
xecp-node	['3940']
xfer	['82']
xfr	['682']
xgrid	['4111']
xic	['6115']
xiip	['1924']
xingcsm	['2327']
xingmpeg	['1558']
xinuexpansion3	['2023']
xinuexpansion4	['2024']
xinupageserver	['2020']
xiostatus	['2341']
xkotodrcp	['5344']
xmapi	['1933']
xmcp	['4788']
xmlblaster	['3412']
xmlink-connect	['3953']
xmlrpc-beep	['602']
xmltec-xmlmail	['9091']
xmms2	['9667']
xmpcr-interface	['3877']
xmpp-bosh	['5280']
xmpp-client	['5222']
xmpp-server	['5269']
xmpv7	['7430']
xmquery	['2279']
xmsg	['1716']
xn-control	['38422']
xnds	['2157']
xnm-clear-text	['3221']
xnm-ssl	['3220']
xnmp	['1652']
xns-auth	['56']
xns-ch	['54']
xns-courier	['165']
xns-mail	['58']
xns-time	['52']
xo-wave	['3763']
xoms	['16619']
xoraya	['11876']
xpanel	['3737']
xpilot	['15345']
xpl	['3865']
xplat-replicate	['3071']
xpra	['14500']
xprint-server	['8100']
xprtld	['5634']
xqosd	['31416']
xrl	['1104']
xrpc-registry	['3651']
xs-openstorage	['1619']
xserveraid	['3722']
xsmsvc	['6936']
xss-port	['3510']
xss-srv-port	['3646']
xsync	['3721']
xtgui	['4095']
xtlserv	['6116']
xtreamx	['5793']
xtrm	['3423']
xtrms	['3424']
xvttp	['508']
xw-control	['36462']
xxnetserver	['3832']
xybrid-cloud	['9925']
xybrid-rt	['9978']
xyplex-mux	['173']
yawn	['31029']
yo-main	['4040']
z-wave	['4123']
z-wave-s	['41230']
z-wave-tunnel	['44123']
z39-50	['210']
zabbix-agent	['10050']
zabbix-trapper	['10051']
zannet	['317']
zarkov	['2989']
zen-pawn	['7628']
zenginkyo-1	['5020']
zenginkyo-2	['5021']
zented	['1229']
zep	['17754']
zephyr-clt	['2103']
zephyr-hm	['2104']
zephyr-srv	['2102']
zicom	['3774']
zieto-sock	['4072']
zigbee-ip	['17755']
zigbee-ips	['17756']
zion-lm	['1425']
zixi-transport	['7088']
zmp	['3925']
zoomcp	['9666']
zsecure	['7173']
zserv	['346']
zymed-zpp	['2133']
l2c-	['4371']
exoline-	['26486']
vocaltec-	['22555']
emc-	['13218']
altova-	['35355']
ka-	['31016']
tn-	['1580']
nav-	['6317']
sossd-	['7982']
eq3-	['43439']
ew-	['43440']
hrd-	['6324']
cmtp-	['8501']
gprs-	['3386']
radio-	['1596']
avi-	['4413']
shrewd-	['22335']
pjj-	['4416']
rdmnet-	['5569']
lisp-	['4342']
wpl-	['8006']
macon-	['456']
frc-	['7244']
sd-	['2384']
alljoyn-	['9955']
acctopus-	['6868']
doip-	['13400']
tn-	['474']
db-	['17500']
io-	['5728']
mzca-	['7282']
msi-	['8675']
CardWeb-	['9060']
opcua-	['4840']
doceri-	['7019']
talarian-	['5101']
veritas-	['2802']
dmaf-	['3574']
recvr-	['43000']
5afe-	['23294']
bilobit	['24577']
shell	['514']
coherence	['7574']
sicct	['4742']
login	['513']
efs	['520']
ssmc	['2187']
netcomm1	['1676']
shivahose	['1549']
ecmp	['6160']
simon	['4753']
astergate	['9106']
svdrp	['6419']
cora	['19220']
vfbp	['6678']
cuelink	['5271']
oob-ws-https	['664']
oob-ws-http	['623']
accelenet	['1182']
ltctcp	['3487']
autocuelog	['3104']
filemq	['5670']
scup	['6315']
vpa	['5164']
enrp-	['9901']
snmptls	['10161']
snmptls-trap	['10162']
submit	['773']
speedtrace	['33334']
iadt	['4169']
down	['2022']
dhanalakshmi	['34567']
cloudcheck	['45514']
nvmsgd	['3519']
gw	['3010']
notateit	['4803']
doglms	['6088']
rlm	['5053']
shaperai	['43210']
smcluster	['4174']
nusrp	['49001']
urd	['465']
tiepie	['5450']
mailbox	['2004']
berknet	['2005']
webadmstart	['1110']
rsms	['10201']
raid-cc	['2011']
ttyinfo	['2012']
troff	['2014']
cypress	['2015']
azeti	['4192']
cypress-stat	['2017']
m3da	['44900']
servexec	['2021']
busboy	['998']
dc	['2001']
ellpack	['2025']
vdmmesh	['18668']
downtools	['5245']
cresco-control	['38002']
asmp	['45000']
fcis	['4727']
lanschool	['11796']
copy	['8445']
asap-	['3864','3863']
accessbuilder	['888']
exec	['512']
conductor-	['6970']
cso	['105']
dtag-ste-sb	['352']
entomb	['775']
garcon	['999']
auth	['113']
l2f	['1701']
lan900-	['2395']
libelle-	['8282']
matip-type-b	['351']
doom	['666']
nameserver	['42']
krb524	['4444']
hp-pdl-datastr	['9100']
orasrv	['1525']
remoteware-cl	['3000']
exlm-agent	['3002']
rfile	['750']
canit-store	['6568']
rpasswd	['774']
search	['2010']
nfs	['2049']
stun-p3	['1992']
tr-rsrb-p3	['1989']
stun-	['3478','5349']
whois-	['63']
http	['80']
Reserved [0,47,51,61,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,249,250,251,252,253,254,255,994,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1023,1024,1030,1031,1032,1109,1276,4324,6567,6890,6891,6892,6893,6894,6895,6896,6897,6898,6899,11023,49151]
